SampleID	Acidaminococcaceae	Actinomycetaceae	Acutalibacteraceae	Aerococcaceae	Aeromonadaceae	Akkermansiaceae	Anaerotignaceae	Anaerovoracaceae	Atopobiaceae	Azonexaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Beduinellaceae	Bianqueaceae	Bifidobacteriaceae	Burkholderiaceae	Butyricicoccaceae	Campylobacteraceae	Candidatus_Nanogingivalaceae	Candidatus_Nanosynbacteraceae	Candidatus_Nanosyncoccaceae	Carnobacteriaceae	Cellulosilyticaceae	Christensenellaceae	Clostridiaceae	Comamonadaceae	Coprobacillaceae	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Dethiosulfovibrionaceae	Dysgonomonadaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales_Family_XIII_Incertae_Sedis	Eubacteriales_incertae_sedis	FGB1011	FGB1126	FGB11739	FGB12107	FGB1217	FGB1260	FGB1262	FGB1292	FGB1296	FGB1306	FGB1347	FGB1354	FGB1359	FGB1374	FGB1380	FGB14224	FGB1474	FGB14936	FGB1539	FGB1765	FGB1785	FGB2106	FGB2404	FGB2412	FGB27697	FGB2834	FGB28369	FGB2838	FGB2839	FGB2875	FGB2880	FGB2881	FGB2889	FGB2890	FGB2893	FGB28941	FGB2898	FGB2906	FGB2915	FGB2917	FGB2918	FGB2919	FGB2920	FGB2928	FGB2930	FGB2937	FGB2952	FGB2957	FGB2959	FGB2960	FGB2982	FGB2992	FGB2997	FGB3002	FGB3004	FGB3009	FGB3011	FGB3012	FGB3023	FGB30287	FGB3034	FGB3038	FGB3041	FGB3043	FGB3047	FGB3048	FGB3054	FGB3057	FGB3062	FGB3070	FGB32310	FGB3625	FGB36777	FGB38642	FGB39998	FGB40326	FGB41334	FGB41726	FGB4355	FGB4405	FGB45503	FGB45631	FGB4605	FGB4616	FGB48199	FGB49339	FGB49665	FGB49681	FGB67123	FGB72728	FGB72899	FGB72924	FGB72939	FGB73144	FGB73178	FGB73497	FGB74971	FGB7709	FGB77202	FGB77220	FGB77385	FGB77988	FGB78183	FGB78291	FGB78699	FGB79170	FGB79291	FGB79315	FGB79330	FGB82250	FGB82363	FGB84092	FGB84486	FGB84669	FGB88346	FGB88349	FGB88381	FGB88510	FGB89158	FGB92029	FGB92040	FGB9272	FGB9345	FGB93743	FGB93792	FGB93799	FGB93803	FGB93863	FGB9429	FGB94449	FGB94585	FGB94588	FGB94683	FGB94730	FGB94733	FGB94741	FGB94768	FGB94810	FGB94833	FGB9491	FGB95106	FGB95121	FGB95145	FGB9644	FGB9660	FGB9718	FGB9989	Flavobacteriaceae	Fusobacteriaceae	Gemellaceae	Hafniaceae	Hyphomicrobiaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Listeriaceae	Lysobacteraceae	Maliibacteriaceae	Metamycoplasmataceae	Microbacteriaceae	Micrococcaceae	Monoglobaceae	Morganellaceae	Mycobacteriaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Paracoccaceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Promicromonosporaceae	Propionibacteriaceae	Pseudomonadaceae	Puniceicoccaceae	Rikenellaceae	Selenomonadaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Syntrophomonadaceae	Tannerellaceae	Tissierellaceae	Turicibacteraceae	Unclassified	UNCLASSIFIED	Veillonellaceae	Weeksellaceae	Yeguiaceae	Yersiniaceae
D13004D15	0	0	0	0	0	0	0	0	0	0	0	0.0133495570598241	0	0	0	0.0444819566959889	0	0	0	0	0	0	0.003916400209658	0	0	0	0	0	0.0057553190898273	0	0	0	0	0	0.0348201774985585	97.458923410196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108545914440268	0	0	0.0467980004747968	0.0541536759954743	0	0	0	0	0	0	0	0.599209232077677	0	0	0	0	0.0027931686774464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205471849578276	0.897790017604854	0	0	0	0.000964189899332	0	0	0	0.59898	0.0217191229901085	0	0	0
D13004D384	0	0.416238452841498	0.284310123554071	0	0	0.0300388515810459	1.8279153269442	0	0	0	0	0.0230486785716202	0	0	0	0.0117033195335621	0	0.259799772959143	0	0	0	0	0	0	0	0	0	0.823159989452795	0.0035696616079429	0	0.457095666064444	0	0	0.0018395192130067	4.2328132559054	0.601413405835149	0	3.68734112083985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0906733821805887	0	0	0	0	0	0	0	0	0	0.0297007777797366	0	0	0	0	0	0	0	0.59223569646431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0982999294042438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0242219935291056	0	0	0	0.507150475352423	0	0	0	0	0	0	0	0	65.1488400117736	0.0100726106095993	0	0	0	0	0	0	0	0.0002585270245306	0	0.310252316131015	0	0	1.56315382378349	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026250436336961	0	0	0	0.201989152935243	0	0	0	0.000805411114884	0	0	11.0962781932699	0.56653	7.09663642679695	0	0	0
D13004D46	0	0.0603353018679164	0.0587938543198005	0	0	0.0075359657907884	0	0	0.0015224173314724	0	0	0.0005138158493719	0	0	0	2.55336028791226	0	0.748211027768765	1.09047898920873	0	0	0	0	0	0	0.0331506373928119	0	1.03335027884523	0.0015414475481158	0	0	0	0	0.0025215037052511	0.421129179210237	1.32475047119737	0	3.73749648833151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.97925618474699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.0450237550569	0	0	0	0	0	0	0	0	0.0013892058149685	0	0	0	0	0.730474865857112	0	0	0	0	0	0	0.0194488814095601	0	0	0	0	0	0	0	0.540229790072989	0	0	0.113505727169591	0	0	0	0.002845017388189	0	0	11.8475848850349	4.84892	1.79661420797893	0	0	0
D13004D7	0	10.391517925854	0	0	0	0	0	0.475249777130514	0.144587003698808	0	0	0.0343022581278834	0	0	0	0.880641996136096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0020852436551904	0	0.0079978572556805	0	0.0230495250940555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35545442481587	0	0	0.413075394036934	0.0220751476042665	0	0	0	0	0	0	0	0.344042454993828	0	0	0.0092755429134973	0	0.0009686904616384	0	0	0	0	0	0.0359382265591829	0.172694192494725	0	0.0083883665220162	0	0.0169454482124979	0	0	0	0	0	0	5.41022911637742	0	0	0	0.0066519272600576	0	0	0	81.04324	0.201593773879615	0	0	0
D17010D15	0	0.268644696177013	0.0150960185619428	0	0	0	0	0.0071798137062898	0.0181336320530654	0	0	1.05150519536134	0	0	0	0.0063667151455348	0	0	0	0	0	0	0.0315804412700806	0	0	0	0	4.94903178041157	0	0	0	0	0	0.0060522147588276	0.0507726356003555	0.003866053534156	0	0.0272541432675726	0.157158144459901	0.0013960748873341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0188009865321757	0	0	52.0500364515251	0.0109614890879148	0	0	0	0	0	0	0	0	0	0	0	0	1.95038565427605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0228357963713942	0.13639344819609	0	0	0	0.0022628686360635	0	0	15.1516160937198	23.29259	0.770081044446426	0	0	0
D17010D22	0	0.153129900802812	0.0319550350730464	0	0	0.368110772591531	0	0.0027064674567603	0.0082207974046841	0	0	1.47307485942663	0	0	0	0.0133295472149954	0	0.0376331569996214	0	0	0	0	0.0080726046620949	0	0.0156460337702053	0.271855686470841	0	2.66941147149502	0.0022774884650548	0	0	0	0	1.04075763120383	0.72493549789219	0.24898720640392	0	3.83192114016291	0.82381905528933	0.0685040451663576	0	0	0	0	0	0	0	0	0.0213007568426873	0	0	0	0	0	0.0146710815163291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036112231483574	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0328909892367676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035800246762334	0	0	0	0.0004367786097365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002417881589612	0	0	0	0	0	0	0	0	0	0.0096169290322348	0	0	38.5527943624218	0.30476227494367	0	0	0	0	0	0	0	0.0053193394971485	0	0	0	0	23.6089290050761	0	0	0	0	0	0.0053739368233656	0.16941550325156	0	0.0062240951887456	0	0.0434672712868166	0	0	0	0.0330781800695118	0	0.0066920722706062	0.305791824523764	0.0014273300996747	0	0	0.0276262470658361	0	0.0040012040499079	1.92655245136757	22.00382	1.11401944336911	0	0	0
D17010D2	0	0.143474624024886	0.0148626421194809	0	0	0.0049395782524124	0	0.0388580155856443	0.0969401379403071	0	0	3.94010032987244	0	0	0	0.0084668030193202	0	0.898264134674625	0	0	0	0	0.0008049683078005	0	0	0.0126087308576394	0	1.80288751898087	0.0014196713792118	0	0	0	0	3.92708179696719	0.0016318902967229	0.845392352639544	0	0.89037544525818	0.387643465461912	0.0029417932703256	0	0	0	0	0	0	0	0	0.0156090672776232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.1080556817147	0.0499738961269991	0	0	0	0	0	0	0	0	0	0	0	0	8.30910240992841	0	0	0	0	0	0.0253930911642534	0.703622797848454	0	0.047968793251205	0	0	0	0	0.977099803583127	0	0	0	0.856910717334799	0	0	0	0.0054152413433854	0	0	3.55630607650055	26.82106	4.50478559779452	0	0	0
D17010D31	0.0003253908401756	0.266233198159366	0.196988440097586	0	0	0	0	0	0.0066903531284906	0	0	21.7929007298903	0	0	0	0.0012936269987472	0	0.111339221873778	0	0	0	0	0.0066109895089355	0	0.0028174084942042	0.0042618263701061	0	4.73415101552603	0	0	0	0	0	0.0002777726684426	0.73561345329379	0.0568878424970588	0	0.0122696155832105	1.35573696741107	0.0012618815509252	0	0	0	0	0	0	0	0	0.0281899576659532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006666544042624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135235607721802	0	0	40.3002825283549	0	0	0	0.0113410612344164	0	0	0	0	0	0	0	0	0	5.4745659678029	0	0	0	0	0	0	0	0	0	0	0	0.0021586904518973	0	0	0	0	0.0019364723171431	0.114259803073403	0	0	0	0	0	0	3.77385121890994	20.63638	0.35715216072163	0	0	0
D17010D398	0	0.182707889574327	0.0527341728676611	0	0	0.0030385715370827	0	0.0034636566743948	0.0073130387511654	0	0	3.42689468196431	0	0	0	0.0103594822352354	0	0.244786063515866	0.0432720925889734	0	0	0	0.0020624501106623	0	0	1.28041153721293	0	0.856050619023667	14.1806276381627	0	0	0	0	0.941988664283594	1.01031716413302	0.0386355158134767	0	0.308470114642808	0.680569176783645	0.0408003012349735	0.0001967986746815	0	0	0	0	0	0	0	0.0112175244568468	0	0	0	0	0	0	0	0	0	0	0	1.6624371245047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199490880551167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0066203074162864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0528758679134318	0	0	0	0	0	0	0	0	0	0.0018262917010445	0	0	22.9010839192335	0.0088480684136813	0.015838357338369	0	0	0	0	0	0	0	0.208685314632288	0	0	0	5.1724516947075	0	0	0	0	0	0.0351876030330564	0.0060928869681399	0	0	0	0	0	0	0	0	0	0	0.533166969447184	0	0	0	0.0029441081732355	0	0.0180503744417893	16.9532848060158	21.28053	7.61466027192931	0	0	0
D17010D64	0	0.0401807009201134	0.243042242271096	0	0	0	0	0	0	0	0	8.92674166018865	0	0	0	0.0180392511264471	0	0.321378602301008	0	0	0	0	0	0	0	0.0207715685690414	0	8.93545231797567	0	0	0	0	0	0.852416037029534	0.964039021816501	0.0127681864143032	0	0	0.35788146993327	0.0083160724342721	0	0	0	0	0	0	0	0	0.0862131770715053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006983416242925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056805400782002	0	0	37.8519772883176	0.0155005038568975	0	0	0	0	0	0	0	0	0	0	0	0	10.0699522121781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0913353416505377	0	0	0	0	0	0	2.66411373662266	25.54993	2.95729065371237	0	0	0
D17010D8	0	0.391893170096028	0.0031034953005856	0	0	0.0110230002005036	0	0	0.0189984239346663	0	0	1.24569688061684	0	0	0	0.0111697871403961	0	0	0	0	0	0	0.0140845563754056	0	0	0.0058085689071772	0	1.03959403729911	0	0	0	0	0	0	0.009988501766975	0.0351799365942515	0	0.0109670813662588	0.0909799433162682	0.0077237889800611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.8233422809925	0.0414428460296676	0	0	0.0007549042623046	0	0	0	0	0	0	0	0	0	3.07320826198784	0	0	0	0	0	0	0.0018732809472003	0	0	0	0	0	0	0	0	0	0	0.867678571267797	0	0	0	0	0	0	14.6571232989466	30.10146	1.53690818965513	0	0	0
D17010PRE	0	0.0150021739372611	0	0	0	0.028847392459348	0	0	0.0249940616137672	0	0	14.5977415267377	0	0	0	0.0493570566374393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001816706850273	0.0014246806352147	4.2149989330103	0	0.0397046062934844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236578259173158	0.177645245111776	0	0	0.0083329474737559	0	0	0	0	0	0	0	0	0	0.0135822741095471	0	0	0	0	0	0	0.0690109562729016	0	0	0	0	0	0	0.315318158710026	0	0	0.0321174647898409	0.26153885513442	0	0	0	0.0047664650782184	0	0	0	52.19192	27.7169227177276	0	0	0
D18423D109	0	0.0288206072190679	0	0	0	0.0048605264343111	0	0.0015183358766229	0.0009165564133272	0	0	3.57363493927176	0.0813142927096285	0	0	0.0271726573041967	0	0.0386620159803493	0	0	0	0	0.0061844412535616	0	0.0221454842492805	0.808708275359076	0	0.862979524802756	0.0007406516471331	0	0	0	0	0.567913166730506	0.0004258746971015	0.0130539852807214	0	0.87721855271889	0.001583142895747	0.0644829840285281	0.0006851027735981	0.0001666466206049	0	0	0	0	0	0	0.0666493900963925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090452082406133	5.55488735349848e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.439113845294054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051475289475752	0	0	0	0	0	0	0	0	0	0	0.0036940000900764	0	0	69.7715793404455	6.99562145379302	0	0	0	0	0	0	0	0.0055363710623201	0	0	0	0.0310795947428239	2.01651669077584	0	0	0	0.0041291329327672	0	0	0.0532250789921045	0	0	0	0	0	0	0.347254524758368	0	0	0	3.86079484101087	0.0067862207168573	0	0	0.518789446234401	0	0	0.616638786966276	7.41854	0.846592607109935	0	0	0
D18423D13	0.0394360619849365	0.0021659303690236	0	0	0	37.3465267450458	0	0	0	0	0	3.86245293509257	0	0	0	0.0014861969021492	0	0	0	0	0	0	0.0091648808965869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0085945960387854	0	0	0.0014113110117308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033180209908447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0489350491618515	11.7326604745018	0	0	0	0	0	0	0	0.0019239913384412	0	0	0	0.374775079278406	0.0009043911381295	0	0	0	0	0	0	0	0	0	0	0	0	0	0.808318301175907	0	0	0.0146430718033462	0	1.14355363031341	0	0	2.19239965106002	0	0	0	42.39547	0.0118607729516483	0	0	0
D18423D180	0	0.0041859912366367	0.0063421375848182	0	0	0.0209209346503463	0.0803728360499939	0	0	0	0	18.7547383145839	0.270609898996029	0	0	0.0436912835323965	0	0.43178860467222	0	0	0	0	0	0	0.057512271839568	0.521191995092631	0	1.44755005145379	0	0	0	0	0	0.767633207616785	0.0029319981722132	0.0054580273667354	0	0.477617991487123	0.4464756601318	0.174151669896631	0	0.0166808142166841	0	0	0	0	0.0433394437517309	0	0.0925428838478884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03256856245798	0.0382964068955241	0	0.0060354054683405	0	0	0	0	0	0	0	0	0	0	0	0.0040506682440731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08850289496528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026523306542483	0	0	0	0	0	0	0	0	0	0	0	0	51.407463719108	0.0019666941585922	0	0	0	0	0.0122331985277575	0	0	0	0	0	0	0.408711523673693	6.51723651566282	0	0	0	0	0	0	0.0154719288164484	0	0	0	0	0	0	1.28838314760037	0.0023636416034457	0	0	0.0758169619670164	0.341735663887504	0	0	1.44804623575985	0	0.0489147510453549	0.832931062295184	9.78467	0.976211046821618	0	0	0
D18423D19	0	0.0140396380644992	0	0	0	4.82721907027163	0	0	0.0036067098807166	0	0	55.542765701643	0.0630493041374575	0	0	0.0285453519585145	0	0	0	0	0	0	0.542218279264233	0	0	0	0	0.0143623059464719	0	0	0	0	0	0	0.017653518342593	0.0456395793056882	0	0.075246150076024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144978264569004	1.62919315846422	0	0	0	0	0	0	0	0.436641348282779	0	0	0	0.0970728396921301	0.0058367034650165	0	0	0	0	0	0	0.0195034808659029	0	0	0	0	0	0	0.452165258604353	0	0	0.0136667774008863	0.474357638486694	0.714508587442878	0	0	6.35069906020423	0	0	0	28.29603	0.190997874935682	0	0	0
D18423D28	0.0339940221140872	0.702339282421682	0	0.0228106757557071	0	45.3225760573183	0	0	0.0394055889661572	0	0	1.89556464218772	0	0	0	0.0095917090489477	0	0	0	0	0	0	0.247298552693437	0	0	0.106823994578324	0	0.0017340469634342	0	0	0	0	0	0	10.7674347753485	1.29714252199503	0	0.0525659164036217	0	0.0013487031937821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007732006508453	0.0671503403811047	0	0	0.878382745883373	2.20852242241448	0	0	0.0008712120009524	0	0	0	0	0.0291185857241417	0	0	0	0.0109069040888471	0.0040879947736999	0	0	0	0	0	0	2.72426317290139	0	0	0	0.0021864070408518	0	0	0.16304229975517	0	0	0	15.2588007054894	0.744073688082693	0	0	0.261949992978686	0	0	0.0133027370914663	16.22962	0.895354625825004	0	0	0
D18423D354	0.0004339465526669	0.0050125254859083	0	0	0	0	0.0545621369588008	0	0	0	0	30.5981116477263	0.688168384113063	0	0	0.0121593595267705	0	0.292108022309542	0	0	0	0	0	0	0.0321828933141182	0.296589184669736	0	0.39058732160866	0	0	0.347591188686248	0	0	0.215396899060535	0	0	0	0.190006597703469	0.540697404623053	0.0251866121588751	2.07233390239139	0.0061106759457186	0.0103350127951502	0	0	0.0761709040711972	0	0	0.0408529683153625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025771111597161	0	0	0.618781215946823	0.0016295135855249	0	0.0054199038822895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119025340160085	0	0	0	0	0	0	0	0.251963538161799	0	0	0.0128766997464853	4.40023575614733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017977785753346	0	0	0	0	0	0.0070582735199098	0	0	0	0	0	0	33.3104812910931	0.0116545645573416	0	0	0	0	0	0	0	0	0	0	0	0.482026059492059	8.13100711020676	0	0	0	0	0	0	0.0073239550827671	0	0	0	0.0214670702788724	0	0	2.77839151173684	0	0	0	0.39621091468914	0.330472439986141	0	0	1.01701131051368	0	0.0658536033802375	0.799781208669429	11.43948	0	0	0	0
